,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Purificacion,CO,3.8587,-74.9313,80.87,55,80,3.85,broken clouds
1,Hasaki,JP,35.7333,140.8333,77.4,68,99,25.14,overcast clouds
2,Bengkulu,ID,-3.8004,102.2655,79.66,81,56,10.94,light rain
3,Mahebourg,MU,-20.4081,57.7,68.29,94,75,5.75,light rain
4,Bredasdorp,ZA,-34.5322,20.0403,50.29,93,2,6.91,clear sky
5,Khipro,PK,25.8285,69.3772,85.26,65,100,14.09,overcast clouds
6,Liverpool,GB,53.4106,-2.9779,64.69,85,40,1.99,moderate rain
7,Tiksi,RU,71.6872,128.8694,34.45,75,100,18.28,overcast clouds
8,New Norfolk,AU,-42.7826,147.0587,60.3,76,100,5.99,overcast clouds
9,Maumere,ID,-8.6199,122.2111,83.61,60,55,1.57,broken clouds
10,East London,ZA,-33.0153,27.9116,60.57,75,59,22.79,light rain
11,Rikitea,PF,-23.1203,-134.9692,72.61,76,18,6.2,light rain
12,Dikson,RU,73.5069,80.5464,34.16,75,10,25.99,clear sky
13,Kieta,PG,-6.2167,155.6333,84.99,68,88,5.39,light rain
14,Alice Springs,AU,-23.7,133.8833,69.35,32,90,16.11,overcast clouds
15,Gashua,NG,12.871,11.0482,82.54,56,61,7.58,broken clouds
16,Bourail,NC,-21.5667,165.4833,75.92,46,0,5.23,clear sky
17,Nikolskoye,RU,59.7035,30.7861,38.01,85,100,6.46,overcast clouds
18,Pangkalanbuun,ID,-2.6833,111.6167,86.77,55,32,6.85,light rain
19,Sumter,US,28.7086,-82.0831,79.74,88,100,4.07,light rain
20,Jamestown,US,42.097,-79.2353,65.52,88,1,4.61,clear sky
21,Auki,SB,-8.7676,160.7034,84.94,69,31,5.77,scattered clouds
22,Cape Town,ZA,-33.9258,18.4232,58.87,78,40,7.0,light rain
23,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,100,90,2.3,overcast clouds
24,Souillac,MU,-20.5167,57.5167,68.38,94,75,5.75,light rain
25,Esperance,AU,-33.8667,121.9,60.64,84,96,16.17,overcast clouds
26,Albany,US,42.6001,-73.9662,69.67,73,53,5.61,broken clouds
27,Beringovskiy,RU,63.05,179.3167,48.51,66,5,4.88,clear sky
28,Port Alfred,ZA,-33.5906,26.891,59.99,77,87,30.11,overcast clouds
29,Opuwo,NA,-18.0607,13.84,62.92,28,3,6.87,clear sky
30,Energetik,RU,51.7445,58.7934,37.11,76,10,13.09,clear sky
31,Mataura,NZ,-46.1927,168.8643,50.49,66,100,3.98,moderate rain
32,Narsaq,GL,60.9167,-46.05,41.22,97,100,4.05,light rain
33,Natal,BR,-5.795,-35.2094,79.02,73,20,13.8,few clouds
34,Esqueda,MX,30.7167,-109.5833,79.59,45,15,0.67,few clouds
35,Lebu,CL,-37.6167,-73.65,47.71,80,3,10.09,clear sky
36,Provideniya,RU,64.3833,-173.3,47.66,80,10,6.8,clear sky
37,Carnarvon,AU,-24.8667,113.6333,68.07,42,0,18.41,clear sky
38,Les Cayes,HT,18.2,-73.75,78.58,86,50,2.19,scattered clouds
39,Ponta Do Sol,PT,32.6667,-17.1,72.23,63,17,7.54,few clouds
40,Yulara,AU,-25.2406,130.9889,75.04,27,0,11.5,clear sky
41,Lompoc,US,34.6391,-120.4579,68.02,74,1,10.36,clear sky
42,Weligama,LK,5.9667,80.4167,80.98,82,100,4.88,overcast clouds
43,Okhotsk,RU,59.3833,143.3,50.36,66,93,5.3,overcast clouds
44,Vaini,TO,-21.2,-175.2,71.76,94,90,10.36,moderate rain
45,Karratha,AU,-20.7377,116.8463,85.78,19,1,11.1,clear sky
46,Qaanaaq,GL,77.484,-69.3632,13.21,75,100,6.51,overcast clouds
47,Bluff,NZ,-46.6,168.3333,50.81,70,100,13.2,light rain
48,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,3.44,clear sky
49,Saskylakh,RU,71.9167,114.0833,29.73,81,25,3.29,scattered clouds
50,Roald,NO,62.5833,6.1333,54.09,87,90,5.75,overcast clouds
51,Ushuaia,AR,-54.8,-68.3,38.86,70,0,3.44,clear sky
52,Saint-Joseph,RE,-21.3667,55.6167,70.16,77,100,12.71,overcast clouds
53,Hermanus,ZA,-34.4187,19.2345,50.81,77,3,4.54,clear sky
54,Belmonte,BR,-15.8631,-38.8828,73.9,79,7,5.44,clear sky
55,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,9.22,clear sky
56,Naze,JP,28.3667,129.4833,81.52,65,9,4.47,clear sky
57,Big Spring,US,32.2504,-101.4787,87.28,44,1,5.5,clear sky
58,Shepsi,RU,44.0361,39.1489,67.86,70,97,6.51,overcast clouds
59,Busselton,AU,-33.65,115.3333,57.09,82,54,12.3,broken clouds
60,Padang,ID,-0.9492,100.3543,77.05,95,100,3.31,overcast clouds
61,Hithadhoo,MV,-0.6,73.0833,83.14,72,78,6.87,broken clouds
62,Sitka,US,57.0531,-135.33,53.49,82,90,0.0,light rain
63,Asau,RO,46.4333,26.4,56.75,78,26,5.91,scattered clouds
64,Ahipara,NZ,-35.1667,173.1667,57.49,62,100,9.04,overcast clouds
65,Kamloops,CA,50.6665,-120.3192,65.39,45,40,8.99,scattered clouds
66,Leningradskiy,RU,69.3833,178.4167,28.31,84,96,19.39,overcast clouds
67,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,13.8,clear sky
68,Ponte Nova,BR,-20.4164,-42.9086,71.26,37,12,1.74,few clouds
69,Kodiak,US,57.79,-152.4072,52.11,54,1,6.87,clear sky
70,Namanyere,TZ,-7.5167,31.05,66.52,48,93,7.78,overcast clouds
71,Norman Wells,CA,65.282,-126.8329,51.84,62,75,13.8,broken clouds
72,Hobart,AU,-42.8794,147.3294,60.66,55,40,28.77,scattered clouds
73,Tautira,PF,-17.7333,-149.15,80.62,81,78,18.45,light rain
74,Arlit,NE,18.7369,7.3853,88.97,11,0,6.96,clear sky
75,Half Moon Bay,US,37.4636,-122.4286,72.03,83,90,4.61,fog
76,Saint-Philippe,RE,-21.3585,55.7679,69.35,76,99,16.84,overcast clouds
77,Llangefni,GB,53.2556,-4.3106,58.86,91,20,16.11,few clouds
78,Vicovu De Sus,RO,47.9333,25.6833,54.79,84,86,7.11,overcast clouds
79,Kruisfontein,ZA,-34.0033,24.7314,49.89,80,2,5.23,clear sky
80,Trifesti,RO,47.45,27.5167,54.37,93,12,3.91,light rain
81,Ostrovnoy,RU,68.0531,39.5131,36.7,79,8,2.82,clear sky
82,Avarua,CK,-21.2078,-159.775,78.85,65,8,16.11,clear sky
83,Bubaque,GW,11.2833,-15.8333,81.05,74,100,5.75,light rain
84,Marsa Matruh,EG,31.3525,27.2453,73.6,88,40,4.61,scattered clouds
85,Castro,BR,-24.7911,-50.0119,64.36,86,52,2.48,broken clouds
86,Te Anau,NZ,-45.4167,167.7167,44.51,94,100,4.54,moderate rain
87,Walvis Bay,NA,-22.9575,14.5053,53.1,81,0,5.75,clear sky
88,Mahon,ES,39.8885,4.2658,75.76,78,20,8.05,few clouds
89,Mahina,PF,-17.5065,-149.489,80.37,69,75,6.91,broken clouds
90,Nanortalik,GL,60.1432,-45.2371,41.22,92,100,10.78,light rain
91,Harper,LR,4.375,-7.7169,76.62,87,42,8.14,light rain
92,Khatanga,RU,71.9667,102.5,34.02,62,3,15.32,clear sky
93,Cidreira,BR,-30.1811,-50.2056,63.86,95,15,4.63,few clouds
94,Sidrolandia,BR,-20.9319,-54.9614,84.99,32,97,4.12,overcast clouds
95,Balkanabat,TM,39.5108,54.3671,73.06,78,11,8.99,few clouds
96,Yorkton,CA,51.2167,-102.4677,75.04,31,1,13.8,clear sky
97,Pangnirtung,CA,66.1451,-65.7125,32.79,83,100,3.91,overcast clouds
98,Poum,NC,-20.2333,164.0167,71.1,62,0,4.7,clear sky
99,Hilo,US,19.7297,-155.09,80.28,66,22,7.2,few clouds
100,Fort Nelson,CA,58.8053,-122.7002,47.79,76,75,3.44,broken clouds
101,Ilulissat,GL,69.2167,-51.1,21.22,63,1,2.3,clear sky
102,Corpus Christi,US,27.8006,-97.3964,86.83,74,20,5.99,few clouds
103,Cap Malheureux,MU,-19.9842,57.6142,68.49,86,82,1.01,light rain
104,Torbay,CA,47.6666,-52.7314,62.38,92,90,17.27,overcast clouds
105,Victoria,HK,22.2855,114.1577,89.96,84,58,14.54,broken clouds
106,Colares,PT,38.7992,-9.4469,64.08,70,5,22.15,clear sky
107,Maceio,BR,-9.6658,-35.7353,72.84,94,20,2.3,few clouds
108,Henties Bay,NA,-22.116,14.2845,52.86,93,0,6.26,clear sky
109,Pierre,US,44.3683,-100.351,83.86,47,1,5.01,clear sky
110,Tasiilaq,GL,65.6145,-37.6368,37.56,66,100,5.17,overcast clouds
111,Georgetown,MY,5.4112,100.3354,82.33,86,20,5.75,few clouds
112,Bealanana,MG,-14.55,48.7333,62.1,93,99,2.98,overcast clouds
113,Bathsheba,BB,13.2167,-59.5167,77.61,83,20,5.75,few clouds
114,Acala,MX,16.5667,-92.8,72.36,93,10,4.52,clear sky
115,Grand Gaube,MU,-20.0064,57.6608,68.4,86,86,1.01,light rain
116,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,39,7.0,scattered clouds
117,Vinh,VN,18.6667,105.6667,83.89,77,41,1.9,scattered clouds
118,Sehithwa,BW,-20.4667,22.7167,67.26,44,0,10.94,clear sky
119,Brigantine,US,39.4101,-74.3646,77.02,90,40,0.0,scattered clouds
120,La Ronge,CA,55.1001,-105.2842,57.45,72,75,9.22,broken clouds
121,Ballina,AU,-28.8667,153.5667,77.18,66,40,14.97,scattered clouds
122,Saint George,US,37.1041,-113.5841,79.39,54,90,5.99,overcast clouds
123,Road Town,VG,18.4167,-64.6167,81.19,73,3,13.22,clear sky
124,Wukari,NG,7.85,9.7833,73.04,95,91,4.9,light rain
125,Pakxan,LA,18.3778,103.6601,83.14,74,14,2.73,few clouds
126,Barrow,US,71.2906,-156.7887,35.62,80,90,13.8,overcast clouds
127,Butaritari,KI,3.0707,172.7902,82.8,69,13,16.67,few clouds
128,San Patricio,US,28.017,-97.5169,86.09,66,0,6.98,clear sky
129,Marsh Harbour,BS,26.5412,-77.0636,82.94,69,11,6.82,few clouds
130,Doha,QA,25.2867,51.5333,87.78,73,0,3.44,clear sky
131,Virginia Beach,US,36.8529,-75.978,76.01,88,1,0.0,clear sky
132,Pathein,MM,16.7833,94.7333,81.43,82,100,4.61,overcast clouds
133,Port Blair,IN,11.6667,92.75,82.54,76,48,5.53,scattered clouds
134,Tricase,IT,39.9304,18.3553,73.31,87,7,6.51,clear sky
135,Stromness,GB,58.965,-3.296,53.87,93,31,7.0,scattered clouds
136,Changji,CN,44.0167,87.3167,79.59,19,0,13.42,clear sky
137,Chokurdakh,RU,70.6333,147.9167,35.67,55,69,7.54,broken clouds
138,Taltal,CL,-25.4,-70.4833,58.3,78,100,2.77,overcast clouds
139,Mackenzie,CA,55.2999,-123.1698,46.62,93,90,13.8,overcast clouds
140,Dunedin,NZ,-45.8742,170.5036,49.8,76,100,10.0,overcast clouds
141,Camocim,BR,-2.9022,-40.8411,78.17,80,12,14.61,few clouds
142,Kapaa,US,22.0752,-159.319,84.18,67,20,3.0,few clouds
143,Govindgarh,IN,27.5,76.9833,77.9,84,11,7.85,few clouds
144,Kurikka,FI,62.6167,22.4167,41.43,91,44,3.51,scattered clouds
145,Kolchugino,RU,56.3,39.3833,35.83,83,100,7.25,overcast clouds
146,Barranca,PE,-10.75,-77.7667,60.49,84,51,7.96,broken clouds
147,Clarence Town,AU,-32.5833,151.7833,75.34,28,0,8.19,clear sky
148,Havoysund,NO,70.9963,24.6622,41.88,76,99,10.58,overcast clouds
149,Shenzhen,CN,22.5455,114.0683,89.85,77,35,7.34,scattered clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,70.07,90,8,5.75,clear sky
151,Bacesti,RO,46.85,27.2333,58.73,88,71,4.16,broken clouds
152,Grand-Santi,GF,4.25,-54.3833,73.53,95,88,2.3,overcast clouds
153,Dwarka,IN,22.2394,68.9678,81.55,83,100,6.96,overcast clouds
154,Anadyr,RU,64.75,177.4833,50.5,66,40,17.9,scattered clouds
155,Vostok,RU,46.4856,135.8833,53.64,39,92,7.94,overcast clouds
156,Badovinci,RS,44.7858,19.3714,62.13,89,44,2.21,scattered clouds
157,Cao Bang,VN,22.6667,106.25,82.69,73,42,4.52,scattered clouds
158,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,75,16.11,broken clouds
159,Bandarbeyla,SO,9.4942,50.8122,78.98,78,100,22.26,overcast clouds
160,Abu Samrah,SY,35.3029,37.1841,68.23,61,0,5.17,clear sky
161,Tongliao,CN,43.6125,122.2653,71.89,46,100,5.68,overcast clouds
162,Shimoda,JP,34.6667,138.95,75.56,77,95,19.55,overcast clouds
163,San Rafael,AR,-34.6177,-68.3301,62.8,33,0,8.72,clear sky
164,Namatanai,PG,-3.6667,152.4333,85.05,69,86,9.89,light rain
165,San Quintin,MX,30.4833,-115.95,68.45,76,0,16.8,clear sky
166,Genhe,CN,50.7833,121.5167,53.58,46,0,1.86,clear sky
167,Thompson,CA,55.7435,-97.8558,55.56,67,75,4.61,broken clouds
168,Meulaboh,ID,4.1363,96.1285,74.75,93,100,5.03,overcast clouds
169,Kalmunai,LK,7.4167,81.8167,80.98,81,100,6.49,overcast clouds
170,Mar Del Plata,AR,-38.0023,-57.5575,53.62,100,90,8.05,mist
171,Klaksvik,FO,62.2266,-6.589,54.52,87,100,22.77,overcast clouds
172,Atuona,PF,-9.8,-139.0333,77.92,74,18,17.4,few clouds
173,Bronnoysund,NO,65.4625,12.1997,50.0,71,90,11.5,overcast clouds
174,Bethel,US,41.3712,-73.414,73.72,88,40,3.44,scattered clouds
175,Mahmudabad,IN,27.3,81.1167,82.36,84,0,2.95,clear sky
176,Ngaoundere,CM,7.3167,13.5833,63.73,95,85,1.14,overcast clouds
177,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,5.75,light rain
178,Saint Anthony,US,45.0205,-93.218,73.06,50,1,7.0,clear sky
179,Kaitangata,NZ,-46.2817,169.8464,54.14,61,100,8.63,light rain
180,Berlevag,NO,70.8578,29.0864,41.38,78,0,19.37,clear sky
181,Kudahuvadhoo,MV,2.6708,72.8944,82.54,74,99,6.15,overcast clouds
182,Angoche,MZ,-16.2325,39.9086,73.4,67,54,17.16,broken clouds
183,Guerrero Negro,MX,27.9769,-114.0611,69.89,80,12,18.28,few clouds
184,Kamina,CD,-8.7386,24.9906,67.26,81,100,3.49,overcast clouds
185,Aklavik,CA,68.2191,-135.0107,45.32,78,100,5.46,overcast clouds
186,Kuala Terengganu,MY,5.3302,103.1408,82.35,78,20,5.75,few clouds
187,The Valley,AI,18.217,-63.0578,82.09,72,3,14.41,clear sky
188,Timmins,CA,48.4669,-81.3331,46.22,87,20,0.0,light rain
189,Caldwell,US,43.6629,-116.6874,66.67,53,1,9.22,clear sky
190,Haines Junction,CA,60.7522,-137.5108,48.15,81,100,1.14,overcast clouds
191,Pemangkat,ID,1.1667,108.9667,81.37,76,100,4.7,overcast clouds
192,Oktyabrskiy,RU,54.4815,53.471,31.82,94,8,5.55,clear sky
193,Sakakah,SA,29.9697,40.2064,80.17,25,0,8.52,clear sky
194,Bhongir,IN,17.5108,78.8889,75.38,76,100,5.55,overcast clouds
195,Upernavik,GL,72.7868,-56.1549,20.75,62,16,5.66,few clouds
196,Kendal,GB,54.3268,-2.7476,63.84,90,100,5.66,overcast clouds
197,Tambo Grande,PE,-4.9269,-80.3447,68.59,66,14,11.63,few clouds
198,Lagoa,PT,39.05,-27.9833,66.58,65,53,10.83,broken clouds
199,Mount Darwin,ZW,-16.7725,31.5838,54.14,90,5,3.98,clear sky
200,Kailua,US,21.4022,-157.7394,89.58,69,40,16.11,scattered clouds
201,Sept-Iles,CA,50.2001,-66.3821,57.25,65,40,1.01,scattered clouds
202,Shasta Lake,US,40.6804,-122.3708,64.74,89,52,0.27,broken clouds
203,Codrington,AU,-38.2667,141.9667,52.32,89,100,21.3,overcast clouds
204,Moussoro,TD,13.6408,16.4901,84.96,54,4,5.97,clear sky
205,Katsuura,JP,35.1333,140.3,80.64,71,91,25.3,overcast clouds
206,Mahibadhoo,MV,3.7833,72.9667,82.58,75,75,7.4,broken clouds
207,Saldanha,ZA,-33.0117,17.9442,57.25,89,100,20.85,light rain
208,Fortuna,US,40.5982,-124.1573,65.43,82,75,8.05,broken clouds
209,Luderitz,NA,-26.6481,15.1594,52.74,88,33,5.21,scattered clouds
210,Aripuana,BR,-9.1667,-60.6333,75.29,83,26,3.83,moderate rain
211,Chernyshevskiy,RU,63.0128,112.4714,41.74,58,91,5.28,overcast clouds
212,Pevek,RU,69.7008,170.3133,31.32,75,100,16.08,overcast clouds
213,Valle De Allende,MX,26.9333,-105.4,71.24,34,5,4.88,clear sky
214,Sembakung,ID,3.8167,117.25,80.53,62,86,3.38,overcast clouds
215,Kutum,SD,14.2,24.6667,76.06,52,87,0.11,overcast clouds
216,Flinders,AU,-34.5833,150.8552,74.05,42,6,10.0,clear sky
217,Mbeya,TZ,-8.9,33.45,57.92,69,6,6.55,clear sky
218,Altay,CN,47.8667,88.1167,65.86,35,1,2.33,clear sky
219,San Roque,ES,36.2107,-5.3842,72.41,56,0,12.66,clear sky
220,Kyabe,TD,9.4515,18.9449,72.52,85,100,0.98,overcast clouds
221,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,17.27,overcast clouds
222,Guadalajara,MX,20.6667,-103.3333,74.97,57,75,5.75,broken clouds
223,Broome,US,42.2506,-75.833,66.02,79,1,9.22,clear sky
224,Reconquista,AR,-29.15,-59.65,69.01,77,47,11.23,scattered clouds
